               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030262,           0.0082867,            0.002225,             0.99542,             0.99555,             0.99373,             0.80844,            0.015405,           0.0041736,          0.00024594,            0.070001,           0.0033332,           0.0033332
                   1,            0.022572,           0.0057802,          0.00031677,             0.99589,             0.99742,             0.99405,             0.82076,            0.014975,           0.0040539,          0.00020508,            0.039341,           0.0060066,           0.0060066
                   2,            0.021115,           0.0055882,          0.00025656,             0.99718,             0.99734,             0.99448,              0.8135,            0.015242,           0.0041753,          0.00019216,           0.0080209,           0.0080199,           0.0080199
                   3,            0.019801,           0.0054324,          0.00020748,             0.99531,             0.99813,             0.99459,             0.79497,            0.015946,           0.0044343,          0.00018459,             0.00703,             0.00703,             0.00703
                   4,            0.019054,           0.0053015,          0.00016537,             0.99686,             0.99738,             0.99458,             0.79177,            0.016294,           0.0044984,          0.00016557,             0.00703,             0.00703,             0.00703
                   5,            0.018342,           0.0051572,          0.00011777,             0.99575,             0.99821,             0.99456,             0.80147,             0.01621,           0.0044052,          0.00014164,             0.00604,             0.00604,             0.00604
                   6,            0.017919,           0.0050704,          0.00011609,             0.99593,               0.998,              0.9945,             0.81298,            0.015837,           0.0042357,          0.00011849,             0.00505,             0.00505,             0.00505
                   7,            0.017439,           0.0049963,           8.751e-05,             0.99606,             0.99794,              0.9945,             0.82334,            0.015352,           0.0040649,           9.508e-05,             0.00406,             0.00406,             0.00406
                   8,            0.017029,           0.0048852,          6.9879e-05,             0.99703,              0.9982,             0.99445,             0.83302,            0.014863,           0.0039154,          7.4547e-05,             0.00307,             0.00307,             0.00307
                   9,            0.016588,           0.0048071,           5.291e-05,             0.99705,             0.99832,              0.9944,             0.84089,            0.014425,           0.0037991,          5.9903e-05,             0.00208,             0.00208,             0.00208
